#,Company,Ticker,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF,Sector,Industry,Long Name
1,Nvidia,NVDA,0.0765,181.99,NVIDIA Corporation,4338391930000.0,165218000000.0,95981000000.0,86597000000.0,3.52,72023000000.0,Technology,Semiconductors,NVIDIA Corporation
2,Microsoft,MSFT,0.0667,520.99,Microsoft Corporation,3801767276203.0,281724000000.0,128528000000.0,101832000000.0,13.64,71611000000.0,Technology,Software - Infrastructure,Microsoft Corporation
3,"Apple Inc,",AAPL,0.0597,233.28,Apple Inc.,3791126029400.0,408625000000.0,130214000000.0,99280000000.0,6.59,96184000000.0,Technology,Consumer Electronics,Apple Inc.
4,Amazon,AMZN,0.0427,232.14,"Amazon.com, Inc.",2343934380679.0,670038000000.0,76190000000.0,70623000000.0,6.56,51349000000.0,Consumer Cyclical,Internet Retail,"Amazon.com, Inc."
5,Meta Platforms,META,0.0339,783.78,"Meta Platforms, Inc.",1868445063231.0,178804000000.0,78710000000.0,71507000000.0,27.58,50137000000.0,Communication Services,Internet Content & Information,"Meta Platforms, Inc."
6,Broadcom,AVGO,0.0252,310.59,Broadcom Inc.,1571700874026.0,59926000000.0,22603000000.0,18932000000.0,3.92,24930000000.0,Technology,Semiconductors,Broadcom Inc.
7,"Alphabet Inc, (Class A)",GOOGL,0.0219,203.36,Alphabet Inc.,2981795821806.0,371399000000.0,121370000000.0,115573000000.0,9.38,66728000000.0,Communication Services,Internet Content & Information,Alphabet Inc.
8,"Alphabet Inc, (Class C)",GOOG,0.0206,204.34,Alphabet Inc.,2989536347992.0,371399000000.0,121370000000.0,115573000000.0,9.37,66728000000.0,Communication Services,Internet Content & Information,Alphabet Inc.
9,"Tesla, Inc,",TSLA,0.0186,334.28,"Tesla, Inc.",1420448259502.0,92720000000.0,5622000000.0,6065000000.0,1.73,5586000000.0,Consumer Cyclical,Auto Manufacturers,"Tesla, Inc."
11,JPMorgan Chase,JPM,0.0139,293.07,JPMorgan Chase & Co.,869087203095.0,175644000000.0,82941000000.0,55153000000.0,19.49,-148615000000.0,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
12,Walmart,WMT,0.0139,100.85,Walmart Inc.,822479321746.0,693153000000.0,28988000000.0,21344000000.0,2.67,13934000000.0,Consumer Defensive,Discount Stores,Walmart Inc.
13,Oracle Corporation,ORCL,0.0118,244.32,Oracle Corporation,795191643900.0,59018000000.0,17964000000.0,12441000000.0,4.32,-5880000000.0,Technology,Software - Infrastructure,Oracle Corporation
14,"Visa Inc,",V,0.0115,345.0,Visa Inc.,650065937308.0,38893000000.0,24195000000.0,20286000000.0,10.24,22083000000.0,Financial Services,Credit Services,Visa Inc.
15,Lilly (Eli),LLY,0.0106,683.54,Eli Lilly and Company,651619849802.0,53258100000.0,16859600000.0,13799900000.0,15.3,4884900000.0,Healthcare,Drug Manufacturers - General,Eli Lilly and Company
16,Mastercard,MA,0.0091,581.95,Mastercard Incorporated,507076552822.0,30241000000.0,16868000000.0,13586000000.0,14.83,15867000000.0,Financial Services,Credit Services,Mastercard Incorporated
17,Netflix,NFLX,0.009,1234.48,"Netflix, Inc.",514420083731.0,41693183000.0,12303936000.0,10247880000.0,23.47,8500749000.0,Communication Services,Entertainment,"Netflix, Inc."
18,ExxonMobil,XOM,0.0079,107.22,Exxon Mobil Corporation,499737815802.0,338078000000.0,45998000000.0,31015000000.0,7.04,29123000000.0,Energy,Oil & Gas Integrated,Exxon Mobil Corporation
19,Costco,COST,0.0075,981.28,Costco Wholesale Corporation,406202758150.0,268776000000.0,10084000000.0,7843000000.0,17.63,7317000000.0,Consumer Defensive,Discount Stores,Costco Wholesale Corporation
20,Palantir Technologies,PLTR,0.0074,180.96,Palantir Technologies Inc.,403840628938.0,3440587000.0,569548000.0,763292000.0,0.3,1708704000.0,Technology,Software - Infrastructure,Palantir Technologies Inc.
21,Johnson & Johnson,JNJ,0.0073,175.13,Johnson & Johnson,432802578687.0,90627000000.0,21447000000.0,22661000000.0,9.35,18549000000.0,Healthcare,Drug Manufacturers - General,Johnson & Johnson
22,Home Depot (The),HD,0.0069,400.02,"The Home Depot, Inc.",408198110068.0,165054000000.0,21601000000.0,14629000000.0,14.71,14230000000.0,Consumer Cyclical,Home Improvement Retail,"The Home Depot, Inc."
23,AbbVie,ABBV,0.0062,204.9,AbbVie Inc.,389720416194.0,58328000000.0,10968000000.0,3763000000.0,2.1,18239000000.0,Healthcare,Drug Manufacturers - General,AbbVie Inc.
24,Procter & Gamble,PG,0.0062,153.6,The Procter & Gamble Company,357178912000.0,84284000000.0,20451000000.0,15974000000.0,6.51,14044000000.0,Consumer Defensive,Household & Personal Products,The Procter & Gamble Company
25,Bank of America,BAC,0.0061,47.6,Bank of America Corporation,386716719160.0,104521000000.0,36302000000.0,26594000000.0,3.41,-22678000000.0,Financial Services,Banks - Diversified,Bank of America Corporation
26,Chevron Corporation,CVX,0.0054,154.9,Chevron Corporation,322693951740.0,195327000000.0,23127000000.0,13716000000.0,7.77,24578000000.0,Energy,Oil & Gas Integrated,Chevron Corporation
27,Coca-Cola Company (The),KO,0.0052,69.53,The Coca-Cola Company,282621828439.0,47062000000.0,13158000000.0,12183000000.0,2.82,-690000000.0,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
28,Advanced Micro Devices,AMD,0.005,180.39,"Advanced Micro Devices, Inc.",258778654648.0,29600000000.0,2267000000.0,2834000000.0,1.74,4043000000.0,Technology,Semiconductors,"Advanced Micro Devices, Inc."
29,GE Aerospace,GE,0.0049,270.87,General Electric Company,312808410377.0,41612000000.0,6925000000.0,7757000000.0,7.17,5544000000.0,Industrials,Aerospace & Defense,GE Aerospace
30,T-Mobile US,TMUS,0.0049,251.04,"T-Mobile US, Inc.",267253258954.0,84052000000.0,19439000000.0,12215000000.0,10.59,18573000000.0,Communication Services,Telecom Services,"T-Mobile US, Inc."
31,Cisco,CSCO,0.0047,69.42,"Cisco Systems, Inc.",265733899181.0,56654000000.0,11760000000.0,10180000000.0,2.55,13288000000.0,Technology,Communication Equipment,"Cisco Systems, Inc."
32,Philip Morris International,PM,0.0044,165.31,Philip Morris International Inc.,256666015778.0,39058000000.0,14169000000.0,8232000000.0,5.27,8989000000.0,Consumer Defensive,Tobacco,Philip Morris International Inc.
33,Wells Fargo,WFC,0.0044,79.45,Wells Fargo & Company,272324537177.0,81715000000.0,23381000000.0,19483000000.0,5.84,-9143000000.0,Financial Services,Banks - Diversified,Wells Fargo & Company
34,UnitedHealth Group,UNH,0.0042,270.76,UnitedHealth Group Incorporated,311624180890.0,422818000000.0,30750000000.0,21296000000.0,23.08,25271000000.0,Healthcare,Healthcare Plans,UnitedHealth Group Incorporated
35,Morgan Stanley,MS,0.0041,148.16,Morgan Stanley,255589317893.0,66137000000.0,19818000000.0,14141000000.0,8.83,-20941000000.0,Financial Services,Capital Markets,Morgan Stanley
36,Goldman Sachs,GS,0.0039,744.63,"The Goldman Sachs Group, Inc.",242936703541.0,56213000000.0,19849000000.0,14759000000.0,45.33,-23721000000.0,Financial Services,Capital Markets,"The Goldman Sachs Group, Inc."
37,Abbott Laboratories,ABT,0.0039,129.5,Abbott Laboratories,232438301320.0,43109000000.0,7515000000.0,13979000000.0,7.97,6775000000.0,Healthcare,Medical Devices,Abbott Laboratories
38,Linde plc,LIN,0.0039,477.08,Linde plc,222455371076.0,33245000000.0,8736000000.0,6714000000.0,14.07,5069000000.0,Basic Materials,Specialty Chemicals,Linde plc
39,Salesforce,CRM,0.0039,233.82,"Salesforce, Inc.",233086216988.0,39502000000.0,7987000000.0,6663000000.0,6.89,12497000000.0,Technology,Software - Application,"Salesforce, Inc."
40,IBM,IBM,0.0038,237.65,International Business Machines Corporation,264840235693.0,64040000000.0,8077000000.0,5833000000.0,6.18,12257000000.0,Technology,Information Technology Services,International Business Machines Corporation
41,McDonald's,MCD,0.0038,308.27,McDonald's Corporation,217820617434.0,26060000000.0,11938000000.0,8392000000.0,11.67,7013000000.0,Consumer Cyclical,Restaurants,McDonald's Corporation
42,American Express,AXP,0.0037,306.47,American Express Company,237769039321.0,63435000000.0,12840000000.0,10146000000.0,14.25,11095000000.0,Financial Services,Credit Services,American Express Company
43,Walt Disney Company (The),DIS,0.0036,116.27,The Walt Disney Company,204011552031.0,94535000000.0,11994000000.0,11551000000.0,6.39,11548000000.0,Communication Services,Entertainment,The Walt Disney Company
44,RTX Corporation,RTX,0.0036,155.03,RTX Corporation,218650807440.0,83599000000.0,7884000000.0,6146000000.0,4.55,3183000000.0,Industrials,Aerospace & Defense,RTX Corporation
45,"Merck & Co,",MRK,0.0036,82.56,"Merck & Co., Inc.",196225849056.0,63616000000.0,19085000000.0,16406000000.0,6.49,14722000000.0,Healthcare,Drug Manufacturers - General,"Merck & Co., Inc."
46,AT&T,T,0.0035,28.68,AT&T Inc.,202427412939.0,123984000000.0,19697000000.0,12664000000.0,1.76,19624000000.0,Communication Services,Telecom Services,AT&T Inc.
47,PepsiCo,PEP,0.0035,149.08,"PepsiCo, Inc.",192273202530.0,91748000000.0,10494000000.0,7550000000.0,5.49,7448000000.0,Consumer Defensive,Beverages - Non-Alcoholic,"PepsiCo, Inc."
48,Intuit,INTU,0.0034,710.86,Intuit Inc.,194678379300.0,18831000000.0,4923000000.0,3869000000.0,13.67,6083000000.0,Technology,Software - Application,Intuit Inc.
49,"Caterpillar Inc,",CAT,0.0034,416.33,Caterpillar Inc.,218198743176.0,63139000000.0,11510000000.0,9437000000.0,19.64,8485000000.0,Industrials,Farm & Heavy Construction Machinery,Caterpillar Inc.
50,Uber,UBER,0.0033,91.4,"Uber Technologies, Inc.",205309468652.0,47331000000.0,4509000000.0,12626000000.0,5.86,8540000000.0,Technology,Software - Application,"Uber Technologies, Inc."
51,Verizon,VZ,0.0032,43.53,Verizon Communications Inc.,183873924877.0,137000000000.0,29497000000.0,18193000000.0,4.29,20128000000.0,Communication Services,Telecom Services,Verizon Communications Inc.
52,Thermo Fisher Scientific,TMO,0.0031,482.91,Thermo Fisher Scientific Inc.,175302651053.0,43212000000.0,7408000000.0,6584000000.0,17.29,6220000000.0,Healthcare,Diagnostics & Research,Thermo Fisher Scientific Inc.
53,BlackRock,BLK,0.0031,1157.73,"BlackRock, Inc.",179080141574.0,21573000000.0,7510000000.0,6404000000.0,41.37,3884000000.0,Financial Services,Asset Management,"BlackRock, Inc."
54,Charles Schwab Corporation,SCHW,0.0031,97.94,The Charles Schwab Corporation,173280834378.0,21626000000.0,9405000000.0,6789000000.0,3.72,17180000000.0,Financial Services,Capital Markets,The Charles Schwab Corporation
55,Booking Holdings,BKNG,0.0031,5476.99,Booking Holdings Inc.,179810041980.0,25025000000.0,8220000000.0,4813000000.0,144.08,9240000000.0,Consumer Cyclical,Travel Services,Booking Holdings Inc.
56,ServiceNow,NOW,0.003,849.47,"ServiceNow, Inc.",194238442944.0,12057000000.0,1601000000.0,1661000000.0,7.95,3849000000.0,Technology,Software - Application,"ServiceNow, Inc."
57,Boeing,BA,0.003,232.6,The Boeing Company,167307451596.0,75327000000.0,-9351000000.0,-10913000000.0,-16.5,-8521000000.0,Industrials,Aerospace & Defense,The Boeing Company
58,Texas Instruments,TXN,0.003,192.64,Texas Instruments Incorporated,167781264539.0,16675000000.0,5818000000.0,5041000000.0,5.47,1503000000.0,Technology,Semiconductors,Texas Instruments Incorporated
59,Citigroup,C,0.003,94.93,Citigroup Inc.,190385660611.0,83160000000.0,18859000000.0,14177000000.0,6.76,-93622000000.0,Financial Services,Banks - Diversified,Citigroup Inc.
60,S&P Global,SPGI,0.003,563.15,S&P Global Inc.,148736054000.0,14699000000.0,5765000000.0,4013000000.0,13.0,5411000000.0,Financial Services,Financial Data & Stock Exchanges,S&P Global Inc.
61,Arista Networks,ANET,0.003,136.51,Arista Networks Inc,179103316793.0,7950972000.0,3429902000.0,3251534000.0,2.55,3975342000.0,Technology,Computer Hardware,Arista Networks Inc
62,Intuitive Surgical,ISRG,0.0029,475.39,"Intuitive Surgical, Inc.",158131156327.0,9145000000.0,2633700000.0,2607600000.0,7.18,1994300000.0,Healthcare,Medical Instruments & Supplies,"Intuitive Surgical, Inc."
63,Qualcomm,QCOM,0.0029,157.6,QUALCOMM Incorporated,182566800000.0,43257000000.0,12019000000.0,11578000000.0,10.36,11622000000.0,Technology,Semiconductors,QUALCOMM Incorporated
64,GE Vernova,GEV,0.0029,623.96,GE Vernova Inc.,164741761770.0,36615000000.0,655000000.0,1156000000.0,4.15,2754000000.0,Industrials,Specialty Industrial Machinery,GE Vernova Inc.
65,Amgen,AMGN,0.0027,290.25,Amgen Inc.,146962018086.0,34917000000.0,8192000000.0,6619000000.0,12.23,10605000000.0,Healthcare,Drug Manufacturers - General,Amgen Inc.
66,Accenture,ACN,0.0026,245.75,Accenture plc,148843181410.0,68482536000.0,10529641000.0,7948771000.0,12.57,10243923000.0,Technology,Information Technology Services,Accenture plc
67,Boston Scientific,BSX,0.0026,103.21,Boston Scientific Corporation,145478375426.0,18494000000.0,3151000000.0,2505000000.0,1.68,3496000000.0,Healthcare,Medical Devices,Boston Scientific Corporation
68,Applied Materials,AMAT,0.0026,189.94,"Applied Materials, Inc.",162459666693.0,28613000000.0,8623000000.0,6832000000.0,8.39,5823000000.0,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc."
69,Danaher Corporation,DHR,0.0026,209.62,Danaher Corporation,132354975896.0,24013000000.0,4417000000.0,3413000000.0,4.7,4884000000.0,Healthcare,Diagnostics & Research,Danaher Corporation
70,TJX Companies,TJX,0.0026,133.66,"The TJX Companies, Inc.",159259721469.0,57925000000.0,6476000000.0,4974000000.0,4.39,4041000000.0,Consumer Cyclical,Apparel Retail,"The TJX Companies, Inc."
71,NextEra Energy,NEE,0.0026,71.93,"NextEra Energy, Inc.",156197342800.0,25899000000.0,7964000000.0,5916000000.0,2.86,3735000000.0,Utilities,Utilities - Regulated Electric,"NextEra Energy, Inc."
72,"Adobe Inc,",ADBE,0.0026,349.03,Adobe Inc.,150851966353.0,23181000000.0,8402000000.0,6957000000.0,16.04,9599000000.0,Technology,Software - Application,Adobe Inc.
73,Gilead Sciences,GILD,0.0025,119.09,"Gilead Sciences, Inc.",139094455284.0,28863000000.0,8050000000.0,6311000000.0,5.02,9369000000.0,Healthcare,Drug Manufacturers - General,"Gilead Sciences, Inc."
74,Progressive Corporation,PGR,0.0025,251.23,The Progressive Corporation,142718610785.0,82408200000.0,13409500000.0,10431900000.0,17.75,16556100000.0,Financial Services,Insurance - Property & Casualty,The Progressive Corporation
75,Stryker Corporation,SYK,0.0025,377.6,Stryker Corporation,141079039108.0,23818000000.0,3616000000.0,2918000000.0,7.55,4024000000.0,Healthcare,Medical Devices,Stryker Corporation
76,Pfizer,PFE,0.0025,25.14,Pfizer Inc.,135088679880.0,63833000000.0,10535000000.0,10752000000.0,1.88,12438000000.0,Healthcare,Drug Manufacturers - General,Pfizer Inc.
77,Lowe's,LOW,0.0024,253.1,"Lowe's Companies, Inc.",144197900069.0,83613000000.0,10329000000.0,6858000000.0,12.19,7778000000.0,Consumer Cyclical,Home Improvement Retail,"Lowe's Companies, Inc."
78,Capital One,COF,0.0024,219.68,Capital One Financial Corporation,143283852409.0,23773000000.0,-523000000.0,-301000000.0,1.95,18224000000.0,Financial Services,Credit Services,Capital One Financial Corporation
79,Micron Technology,MU,0.0024,124.8,"Micron Technology, Inc.",176004804634.0,33813000000.0,7638000000.0,6225000000.0,5.56,1881000000.0,Technology,Semiconductors,"Micron Technology, Inc."
80,Eaton Corporation,ETN,0.0024,355.78,Eaton Corporation plc,142320294000.0,25990000000.0,4909000000.0,3926000000.0,9.94,3336000000.0,Industrials,Specialty Industrial Machinery,Eaton Corporation plc
81,Honeywell,HON,0.0024,218.05,Honeywell International Inc.,132179115243.0,39990000000.0,8327000000.0,5717000000.0,8.79,4991000000.0,Industrials,Conglomerates,Honeywell International Inc.
82,"Blackstone Inc,",BX,0.0023,174.18,Blackstone Inc.,210396040627.0,13747117000.0,7004675000.0,2863804000.0,3.71,3280279000.0,Financial Services,Asset Management,Blackstone Inc.
83,Lam Research,LRCX,0.0023,107.39,Lam Research Corporation,162430833559.0,18435591000.0,5900968000.0,5358217000.0,4.15,5414078000.0,Technology,Semiconductor Equipment & Materials,Lam Research Corporation
84,Amphenol,APH,0.0023,110.5,Amphenol Corporation,149684928209.0,18817900000.0,4216800000.0,3179700000.0,2.51,2825400000.0,Technology,Electronic Components,Amphenol Corporation
85,Union Pacific Corporation,UNP,0.0022,219.96,Union Pacific Corporation,139482970838.0,24393000000.0,9837000000.0,6935000000.0,11.51,6261000000.0,Industrials,Railroads,Union Pacific Corporation
86,KKR,KKR,0.0022,146.16,KKR & Co. Inc.,119396038637.0,16249076000.0,236943000.0,2012568000.0,2.11,4567110000.0,Financial Services,Asset Management,KKR & Co. Inc.
87,Deere & Company,DE,0.0022,480.47,Deere & Company,125431787326.0,44433000000.0,9628000000.0,5207000000.0,19.16,5987000000.0,Industrials,Farm & Heavy Construction Machinery,Deere & Company
88,KLA Corporation,KLAC,0.0022,952.74,KLA Corporation,140444772690.0,12156162000.0,4946614000.0,4061643000.0,30.37,3741855000.0,Technology,Semiconductor Equipment & Materials,KLA Corporation
89,Automatic Data Processing,ADP,0.0021,303.25,"Automatic Data Processing, Inc.",118086236220.0,20560900000.0,5411900000.0,4079700000.0,9.98,4403500000.0,Technology,Software - Application,"Automatic Data Processing, Inc."
90,Comcast,CMCSA,0.0021,32.98,Comcast Corporation,116817214668.0,124184000000.0,22505000000.0,22904000000.0,6.05,16578000000.0,Communication Services,Telecom Services,Comcast Corporation
91,ConocoPhillips,COP,0.0021,95.41,ConocoPhillips,122995838787.0,60182000000.0,14845000000.0,9185000000.0,7.45,6923000000.0,Energy,Oil & Gas E&P,ConocoPhillips
92,Medtronic,MDT,0.002,91.93,Medtronic plc,120853769183.0,34200000000.0,6120000000.0,4660000000.0,3.63,5303000000.0,Healthcare,Medical Devices,Medtronic plc
93,Analog Devices,ADI,0.002,234.79,"Analog Devices, Inc.",122737701350.0,10386795000.0,2556677000.0,1957676000.0,3.92,3737292000.0,Technology,Semiconductors,"Analog Devices, Inc."
94,Palo Alto Networks,PANW,0.002,174.29,"Palo Alto Networks, Inc.",135365293000.0,9221500000.0,1242900000.0,1133900000.0,1.6,3469800000.0,Technology,Software - Infrastructure,"Palo Alto Networks, Inc."
95,Synopsys,SNPS,0.002,614.05,"Synopsys, Inc.",90597824721.0,6435304000.0,1104336000.0,1997630000.0,12.74,1376670000.0,Technology,Software - Infrastructure,"Synopsys, Inc."
96,"Nike, Inc,",NKE,0.0019,76.19,"NIKE, Inc.",102365361311.0,46309000000.0,3702000000.0,3219000000.0,2.16,3268000000.0,Consumer Cyclical,Footwear & Accessories,"NIKE, Inc."
97,Altria,MO,0.0019,65.63,"Altria Group, Inc.",110385634522.0,23594000000.0,11052000000.0,8787000000.0,5.17,8728000000.0,Consumer Defensive,Tobacco,"Altria Group, Inc."
98,Chubb Limited,CB,0.0019,275.26,Chubb Limited,111908378342.0,57213000000.0,12236000000.0,9198000000.0,22.66,14000000000.0,Financial Services,Insurance - Property & Casualty,Chubb Limited
99,Welltower,WELL,0.0019,162.1,Welltower Inc.,116977657256.0,9277824000.0,1723330000.0,1129665000.0,1.76,1590237000.0,Real Estate,REIT - Healthcare Facilities,Welltower Inc.
100,DoorDash,DASH,0.0018,249.12,"DoorDash, Inc.",112125820731.0,11895000000.0,542000000.0,781000000.0,1.8,1713000000.0,Consumer Cyclical,Internet Retail,"DoorDash, Inc."
101,Starbucks,SBUX,0.0018,93.22,Starbucks Corporation,94789413000.0,36689300000.0,3699100000.0,2632500000.0,2.32,2253600000.0,Consumer Cyclical,Restaurants,Starbucks Corporation
102,CrowdStrike,CRWD,0.0018,423.96,"CrowdStrike Holdings, Inc.",119258922682.0,4341102000.0,-378659000.0,-296986000.0,-1.19,1037934000.0,Technology,Software - Infrastructure,"CrowdStrike Holdings, Inc."
103,Intercontinental Exchange,ICE,0.0018,182.39,"Intercontinental Exchange, Inc.",96012524550.0,12554000000.0,4698000000.0,3003000000.0,5.21,4078000000.0,Financial Services,Financial Data & Stock Exchanges,"Intercontinental Exchange, Inc."
104,Southern Company,SO,0.0018,93.92,The Southern Company,103987481384.0,28363000000.0,7200000000.0,4283000000.0,3.87,-796000000.0,Utilities,Utilities - Regulated Electric,The Southern Company
105,Constellation Energy,CEG,0.0018,328.25,Constellation Energy Corporation,103487472100.0,24821000000.0,3841000000.0,3009000000.0,9.59,-2486000000.0,Utilities,Utilities - Independent Power Producers,Constellation Energy Corporation
106,Lockheed Martin,LMT,0.0018,436.04,Lockheed Martin Corporation,113800206897.0,71844000000.0,5864000000.0,4204000000.0,17.8,3329000000.0,Industrials,Aerospace & Defense,Lockheed Martin Corporation
107,Marsh McLennan,MMC,0.0018,206.98,"Marsh & McLennan Companies, Inc.",98108494021.0,25799000000.0,6084000000.0,4127000000.0,8.34,4654000000.0,Financial Services,Insurance Brokers,"Marsh & McLennan Companies, Inc."
108,Vertex Pharmaceuticals,VRTX,0.0017,389.78,Vertex Pharmaceuticals Incorporated,98898847763.0,11418800000.0,3925700000.0,3637600000.0,14.02,3499700000.0,Healthcare,Biotechnology,Vertex Pharmaceuticals Incorporated
109,Intel,INTC,0.0017,22.68,Intel Corporation,155379357328.0,53070000000.0,-12122000000.0,-20504000000.0,-4.75,-10943000000.0,Technology,Semiconductors,Intel Corporation
110,CME Group,CME,0.0017,275.27,CME Group Inc.,97402706912.0,6444000000.0,4208600000.0,3721400000.0,10.33,4107400000.0,Financial Services,Financial Data & Stock Exchanges,CME Group Inc.
111,Prologis,PLD,0.0017,105.98,"Prologis, Inc.",105975513970.0,8560569000.0,4463352000.0,3442871000.0,3.7,-1688186000.0,Real Estate,REIT - Industrial,"Prologis, Inc."
112,Bristol Myers Squibb,BMY,0.0017,47.85,Bristol-Myers Squibb Company,89803429173.0,47704000000.0,6593000000.0,5049000000.0,2.48,14578000000.0,Healthcare,Drug Manufacturers - General,Bristol-Myers Squibb Company
113,Duke Energy,DUK,0.0017,124.27,Duke Energy Corporation,95663361930.0,31271000000.0,8429000000.0,4753000000.0,6.15,-563000000.0,Utilities,Utilities - Regulated Electric,Duke Energy Corporation
114,Trane Technologies,TT,0.0016,430.05,Trane Technologies plc,92395052518.0,20750100000.0,3795400000.0,2856000000.0,12.6,2816100000.0,Industrials,Building Products & Equipment,Trane Technologies plc
115,American Tower,AMT,0.0016,203.03,American Tower Corporation,90967165481.0,10259600000.0,4671100000.0,1292800000.0,2.76,3741100000.0,Real Estate,REIT - Specialty,American Tower Corporation
116,Parker Hannifin,PH,0.0016,743.62,Parker-Hannifin Corporation,96317072709.0,19850000000.0,4060000000.0,3531000000.0,27.12,3373000000.0,Industrials,Specialty Industrial Machinery,Parker-Hannifin Corporation
117,Cadence Design Systems,CDNS,0.0016,347.53,"Cadence Design Systems, Inc.",95401473900.0,5089287000.0,1410248000.0,1011951000.0,3.7,1585090000.0,Technology,Software - Application,"Cadence Design Systems, Inc."
118,Dell Technologies,DELL,0.0016,139.29,Dell Technologies Inc.,87918127038.0,101451000000.0,6913000000.0,4915000000.0,6.96,4860000000.0,Technology,Computer Hardware,Dell Technologies Inc.
119,Moody's Corporation,MCO,0.0016,523.03,Moody's Corporation,85507438987.0,7307000000.0,2963000000.0,2132000000.0,11.77,2371000000.0,Financial Services,Financial Data & Stock Exchanges,Moody's Corporation
120,HCA Healthcare,HCA,0.0016,393.14,"HCA Healthcare, Inc.",98061995980.0,72698000000.0,11078000000.0,5971000000.0,23.79,7292000000.0,Healthcare,Medical Care Facilities,"HCA Healthcare, Inc."
121,Waste Management,WM,0.0016,227.06,"Waste Management, Inc.",88094957432.0,23950000000.0,4202000000.0,2721000000.0,6.74,2163000000.0,Industrials,Waste Management,"Waste Management, Inc."
122,Sherwin-Williams,SHW,0.0016,365.34,The Sherwin-Williams Company,85249554074.0,23079900000.0,3688100000.0,2544900000.0,10.08,2154600000.0,Basic Materials,Specialty Chemicals,The Sherwin-Williams Company
123,Cintas,CTAS,0.0015,222.51,Cintas Corporation,82298615022.0,10340181000.0,2359726000.0,1812281000.0,4.4,1780993000.0,Industrials,Specialty Business Services,Cintas Corporation
124,O'Reilly Auto Parts,ORLY,0.0015,101.68,"O'Reilly Automotive, Inc.",90025497748.0,17122020000.0,3291314000.0,2423674000.0,2.8,1783520000.0,Consumer Cyclical,Auto Parts,"O'Reilly Automotive, Inc."
125,Royal Caribbean Group,RCL,0.0015,313.5,Royal Caribbean Cruises Ltd.,88792365777.0,17183000000.0,4534000000.0,3603000000.0,13.59,3587000000.0,Consumer Cyclical,Travel Services,Royal Caribbean Cruises Ltd.
126,General Dynamics,GD,0.0015,316.15,General Dynamics Corporation,88859260596.0,50273000000.0,5177000000.0,4086000000.0,14.89,4130000000.0,Industrials,Aerospace & Defense,General Dynamics Corporation
127,CVS Health,CVS,0.0015,66.7,CVS Health Corporation,96101089434.0,386641000000.0,8955000000.0,4531000000.0,3.59,4780000000.0,Healthcare,Healthcare Plans,CVS Health Corporation
128,3M,MMM,0.0014,157.85,3M Company,81391144763.0,24602000000.0,4787000000.0,3939000000.0,7.2,-1954000000.0,Industrials,Conglomerates,3M Company
129,McKesson Corporation,MCK,0.0014,672.79,McKesson Corporation,94600550096.0,377595000000.0,4429000000.0,3164000000.0,24.99,5666000000.0,Healthcare,Medical Distribution,McKesson Corporation
130,Northrop Grumman,NOC,0.0014,583.32,Northrop Grumman Corporation,85125146459.0,40501000000.0,3976000000.0,3945000000.0,27.12,1308000000.0,Industrials,Aerospace & Defense,Northrop Grumman Corporation
131,Coinbase Global,COIN,0.0014,323.33,"Coinbase Global, Inc.",80316301310.0,7008333000.0,1884738000.0,2860612000.0,10.38,1806909000.0,Financial Services,Financial Data & Stock Exchanges,"Coinbase Global, Inc."
132,Apollo Global Management,APO,0.0014,140.17,"Apollo Global Management, Inc.",78728039538.0,25418000000.0,6093000000.0,3272000000.0,5.35,4124000000.0,Financial Services,Asset Management,"Apollo Global Management, Inc."
133,Mondelez International,MDLZ,0.0014,61.65,"Mondelez International, Inc.",81984381304.0,37105000000.0,4616000000.0,3641000000.0,2.73,2864000000.0,Consumer Defensive,Confectioners,"Mondelez International, Inc."
134,TransDigm Group,TDG,0.0014,1414.51,TransDigm Group Incorporated,73014191280.0,8579000000.0,3947000000.0,1751000000.0,30.14,1906000000.0,Industrials,Aerospace & Defense,TransDigm Group Incorporated
135,Ecolab,ECL,0.0014,279.18,Ecolab Inc.,76862351152.0,15723900000.0,2893000000.0,2136100000.0,7.48,1624100000.0,Basic Materials,Specialty Chemicals,Ecolab Inc.
136,Aon,AON,0.0014,365.94,Aon plc,76780318660.0,16752000000.0,4034000000.0,2603000000.0,11.95,2912000000.0,Financial Services,Insurance Brokers,Aon plc
137,Cigna,CI,0.0013,290.17,The Cigna Group,76386807223.0,262023000000.0,9026000000.0,5018000000.0,18.26,3944000000.0,Healthcare,Healthcare Plans,The Cigna Group
138,Motorola Solutions,MSI,0.0013,461.96,"Motorola Solutions, Inc.",76058009689.0,11094000000.0,2799000000.0,2116000000.0,12.43,2384000000.0,Technology,Communication Equipment,"Motorola Solutions, Inc."
139,Illinois Tool Works,ITW,0.0013,262.91,Illinois Tool Works Inc.,76093160000.0,15790000000.0,4102000000.0,3365000000.0,11.41,2738000000.0,Industrials,Specialty Industrial Machinery,Illinois Tool Works Inc.
140,Airbnb,ABNB,0.0013,124.93,"Airbnb, Inc.",77067091570.0,11580000000.0,2605000000.0,2625000000.0,4.13,4308000000.0,Consumer Cyclical,Travel Services,"Airbnb, Inc."
